
451 градус по Фаренгейту;Эрих Мария Ремарк;детектив;277;1944;357-1806860347;1.8;93236
Процесс;Герберт Уэллс;любовный роман;119;1995;557-6908612447;2.4;26822
Черный дом;Станислав Лем;приключения;182;1980;338-5878870405;3.3;92106
Граф Монте-Кристо;Казуо Исигуро;детская литература;153;1945;478-4168212173;4.9;46138
Ребекка;Фрэнсис Скотт Фицджеральд;триллер;388;2000;466-6549004413;4.2;94786
Мастер и Маргарита;Джейн Остин;биография;236;1993;794-9577713569;2.4;18115
451 градус по Фаренгейту;Габриэль Гарсиа Маркес;исторический роман;143;1854;811-6384351250;0.9;23123
Исчезнувшая;Джек Лондон;приключения;319;1834;780-9006417725;0.1;70482
Звездная пыль;Марк Твен;любовный роман;163;1868;507-3076176109;3.2;14704
Цветы для Элджернона;Иэн Бэнкс;любовный роман;337;1942;377-6727202161;1.8;69173
Дракула;Харуки Мураками;детская литература;409;1890;141-5725413053;4.2;98740
Город призраков;Патрик Зюскинд;роман;466;1826;102-1558989393;3.8;70147
Хроники Нарнии;Тед Хьюз;биография;222;1998;733-6496877155;1.4;22394
Убить пересмешника;Джейн Остин;роман;210;2015;706-2067471519;0.5;94625
Американские горки;Алексей Толстой;исторический роман;249;2006;734-9099335869;3.5;92257
Твин Пикс: Воспоминания специального агента ФБР Дейла Купера;Колин Маккалоу;научная фантастика;337;1854;819-7837163537;3.6;13351
Осиная фабрика;Эрих Мария Ремарк;биография;108;1990;140-7868397527;4.7;67749
Прощай, оружие;Дон Делилло;роман;147;2008;394-7621557306;2.2;24859
Молот ведьм;Лев Толстой;фэнтези;165;1954;953-7930761769;1.9;27387
Исчезнувшая;Казуо Исигуро;научная фантастика;431;1977;614-4197191597;2.7;55706
Свет в лесу;Сельма Лагерлёф;приключения;185;1956;992-5994436022;1.8;56010
Три товарища;Салман Рушди;фэнтези;463;1847;122-6355463691;1.8;2542
Фауст;Эрнест Хемингуэй;биография;365;1901;248-2206463563;3.0;88980
Солярис;Синклер Льюис;биография;231;1849;948-2819247088;4.5;92226
Граф Монте-Кристо;Эрих Мария Ремарк;любовный роман;392;2005;624-1108243798;3.2;10708
Ярмарка тщеславия;Юстейн Гордер;фэнтези;149;1855;745-2340994971;3.0;47873
1984;Лев Толстой;детская литература;364;1983;236-2880387593;1.2;89757
Алхимик;Эрнест Хемингуэй;роман;332;1865;923-1242270560;1.7;86520
Аутсайдеры;Герберт Уэллс;роман;434;2012;794-5148124460;4.7;50642
Молот ведьм;Марк Твен;биография;290;1940;455-7490971373;2.0;26921
Фауст;Лев Толстой;фэнтези;267;1904;380-7761165629;2.3;68532
Гордость и предубеждение;Александр Пушкин;приключения;334;1809;673-3300243253;2.2;85284
Скотный двор;Оскар Уайльд;детская литература;121;1967;774-4985149486;1.3;44124
Цветы для Элджернона;Сельма Лагерлёф;приключения;167;1876;260-2338732982;2.8;95757
Котлован;Джон Фаулз;триллер;477;1865;489-6565454679;4.7;20159
Твин Пикс: Воспоминания специального агента ФБР Дейла Купера;Джек Лондон;научная фантастика;427;1886;482-2011750576;3.3;64898
Маленький принц;Иэн Бэнкс;детектив;234;1994;823-9720230475;0.7;19458
Преступление и наказание;Дж. Р. Р. Толкин;биография;189;2006;648-2952436550;4.7;97076
Война и мир;Джозеф Конрад;биография;318;1847;501-8957307487;1.6;45152
По направлению к сваолу;Умберто Эко;детская литература;228;1926;544-7735554098;0.1;94627
Слепота;Оскар Уайльд;роман;387;2018;634-9188869704;4.8;77807
Ярмарка тщеславия;Джордж Оруэлл;любовный роман;359;1872;274-1509485028;3.2;24403
20 000 лье под водой;Юстейн Гордер;исторический роман;452;2019;532-4544790888;4.2;36675
Прощай, оружие;Иван Тургенев;роман;384;2022;601-8834007137;2.3;13911
Плавучий трава;Антон Чехов;любовный роман;275;1955;463-8635984302;1.0;9553
Молот ведьм;Умберто Эко;исторический роман;117;1898;151-4665752193;2.3;95846
Приключения Гекльберри Финна;Джейн Остин;биография;433;1898;881-2566930150;0.9;97854
На игле;Джек Лондон;триллер;159;1943;126-7872104613;3.2;32719
Гроздья гнева;Михаил Булгаков;роман;110;1941;821-2049640304;2.2;55258
Ватек;Казуо Исигуро;биография;292;1995;388-9641233409;4.3;18258
По направлению к сваолу;Уильям Голдинг;триллер;210;1819;596-8336928033;5.0;46947
Оно;Салман Рушди;роман;376;1990;538-6836685775;4.9;53709
Вещие сестрички;Эрих Мария Ремарк;детская литература;344;1855;453-6430077457;4.9;86820
