movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross
Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485,5228953251
Pinocchio,1940-02-09,Adventure,G,84300000,2188229052
Fantasia,1940-11-13,Musical,G,83320000,2187090808
Song of the South,1946-11-12,Adventure,G,65000000,1078510579
Cinderella,1950-02-15,Drama,G,85000000,920608730
20000 Leagues Under the Sea,1954-12-23,Adventure,G,28200000,528279994
Lady and the Tramp,1955-06-22,Drama,G,93600000,1236035515
Sleeping Beauty,1959-01-29,Drama,G,9464608,21505832
101 Dalmatians,1961-01-25,Comedy,G,153000000,1362870985
The Absent Minded Professor,1961-03-16,Comedy,G,25381407,310094574
Babes in Toyland,1961-12-14,Musical,G,10218316,124841160
Bon Voyage!,1962-05-17,Comedy,Not Rated,9230769,109581646
The Sword in the Stone,1963-12-25,Adventure,PG,22182353,153870834
The Jungle Book,1967-10-18,Musical,Not Rated,141843000,789612346
Blackbeard's Ghost,1968-02-08,Comedy,G,21540050,138612686
The Aristocats,1970-04-24,Musical,G,55675257,255161499
The Boatniks,1970-07-01,Comedy,G,18607492,101200742
Bedknobs and Broomsticks,1971-10-07,Musical,PG,17871174,91305448
The Apple Dumpling Gang,1975-07-01,Comedy,G,31916500,131246872
Freaky Friday,1977-01-21,Comedy,PG,25942000,98067733
The Many Adventures of Winnie the Pooh,1977-03-11,Adventure,PG,25942000,98067733
The Rescuers,1977-06-22,Adventure,G,48775599,159743914
Herbie Goes to Monte Carlo,1977-06-24,Adventure,G,28000000,105847527
The Black Hole,1979-12-21,Fantasy,G,35841901,120377374
Midnight Madness,1980-02-08,Adventure,Not Rated,2900000,9088096
The Last Flight of Noah’s Ark,1980-06-25,Adventure,G,11000000,34472116
The Devil and Max Devlin,1981-01-01,Cartoon,G,16000000,48517980
Amy,1981-03-20,Drama,Not Rated,25942000,98067733
The Fox and the Hound,1981-07-10,Comedy,PG,43899231,133118889
Condorman,1981-08-07,Action,G,259425600,98065733
Night Crossing,1982-02-05,Drama,G,4500000,12903059
Tron,1982-07-09,Action,G,26918576,77184895
Tex,1982-11-19,Drama,G,7199408,20643199
Trenchcoat,1983-03-11,Comedy,G,4304286,11519089
Something Wicked This Way Comes,1983-04-29,Horror,R,5656087,15136765
Never Cry Wolf,1983-10-07,Drama,R,27668764,70669955
Running Brave,1983-11-04,Drama,R,1204595,3223725
Splash,1984-03-09,Comedy,PG,62599495,157057661
Country,1984-09-29,Drama,R,8400000,21075000
Baby: Secret of the Lost Legend,1985-03-22,Adventure,PG,14276095,33900697
Return to Oz,1985-06-21,Adventure,PG,10618813,25215934
The Black Cauldron,1985-07-24,Adventure,PG,21288692,50553142
My Science Project,1985-08-09,Comedy,R,4100000,9736051
The Journey of Natty Gann,1985-09-27,Drama,R,9468512,22302956
One Magic Christmas,1985-11-22,Drama,R,13229514,31415432
Down and Out in Beverly Hills,1986-01-31,Comedy,R,62134225,141183693
Off Beat,1986-04-11,Comedy,R,4842778,11003932
Ruthless People,1986-06-27,Comedy,R,71624879,162748712
The Great Mouse Detective,1986-07-02,Adventure,PG,23605534,53637367
Flight of the Navigator,1986-07-30,Adventure,,18564613,42183197
Tough Guys,1986-10-03,Comedy,,21458229,48758184
The Color of Money,1986-10-17,Drama,R,52293000,117957323
Outrageous Fortune,1987-01-30,Comedy,R,52864741,113976921
Tin Men,1987-03-06,Comedy,,25411386,54787202
Ernest Goes to Camp,1987-05-22,Comedy,,23509382,50686462
Benji the Hunted,1987-06-05,Adventure,,15212539,32798382
Adventures in Babysitting,1987-07-03,Comedy,,33790923,72853569
Stakeout,1987-08-05,Comedy,R,65673233,141592160
Can't Buy Me Love,1987-08-14,Romantic Comedy,,31623833,68181300
Hello Again,1987-11-06,Comedy,,20419446,44024529
3 Men and a Baby,1987-11-25,Comedy,PG,167780960,353334607
Good Morning Vietnam,1987-12-23,Comedy,R,123922370,254414837
